"Name","Rotten Tomatoes Critics Score","Rotten Tomatoes Audience Score","Total Gross","Opening Gross","Opening Screens","Production Budget","Holiday/Summer Release"
"The Company You Keep",55,45,5133027,1152905,807,1000000,0
"The Conjuring",86,82,137400141,41855326,2903,20000000,1
"The Counselor",34,23,16973715,7842930,3044,25000000,0
"The Croods",70,78,187168425,43639736,4046,135000000,0
"The Family",28,42,36918811,14034764,3091,30000000,0
"The Fifth Estate",37,37,3255008,1673351,1769,26000000,0
"The Grandmaster",77,58,6594959,2477792,749,38600000,0
"The Great Gatsby",48,68,144840419,50085185,3535,190000000,1
"The Hangover 3",19,45,112200072,41671198,3555,103000000,1
"The Heat",65,72,159582188,39115043,3181,43000000,1
"The Hobbit: The Desolation of Smaug",74,86,258366855,73645197,3903,250000000,1
"The Host",93,72,26627201,10600112,3202,50000000,0
"The Hunger Games: Catching Fire",89,90,424668047,158074286,4163,130000000,1
"The Impossible",81,85,19019882,2531117,808,40000000,0
"The Incredible Burt Wonderstone",36,33,22537881,10177257,3160,32000000,0
"The Internship",34,52,44672764,17325307,3366,58000000,1
"The Last Exorcism Part II",16,27,15179302,7728354,2700,4000000,0
"The Last Stand",60,54,12050299,6281433,2913,30000000,0
"The Lone Ranger",31,51,89302115,29210849,3904,275000000,0
"The Mortal Instruments: City of Bones",12,59,31165421,9336957,3118,60000000,0
"The Place Beyond the Pines",80,75,21403519,4917545,1542,15000000,0
"The Purge",38,36,64473115,34058360,2536,3000000,1
"The Secret Life of Walter Mitty",50,71,58236838,12765508,2909,91000000,1
"The Smurfs 2",14,57,71017784,17548389,3866,110000000,1
"The Spectacular Now",93,76,6854611,704950,770,2500000,0
"The Way Way Back",85,84,21506546,3445814,886,5000000,1
"The Wolf of Wall Street",77,82,116900694,18361578,2537,100000000,1
"The Wolverine",69,70,132556852,53113752,3924,115000000,1
"The World's End",45,72,26004851,8811790,1551,20000000,0
"This is the End",83,71,101470202,20719162,3055,32000000,1
"Thor: The Dark World",66,79,206362140,85737841,3841,150000000,1
"Turbo",67,66,83028128,21312625,3806,135000000,1
"Tyler Perry's A Madea Christmas",19,71,52543354,16007634,2194,25000000,1
"Tyler Perry's Temptation: Confessions of a Marriage Counselor",15,66,51975354,21641679,2047,37000000,0
"Tyler Perry Presents Peeples",35,49,9177065,4611534,2041,15000000,1
"Walking with Dinosaurs",24,41,36076121,7091938,3231,80000000,1
"Warm Bodies",80,73,66380662,20353967,3009,30000000,0
"We're the Millers",47,72,150394119,26419396,3260,37000000,0
"White House Down",50,63,73103784,24852258,3222,150000000,1
"World War Z",68,72,202359711,66411834,3607,190000000,1
"You're Next",75,59,18494006,7020196,2437,1000000,0
"Zero Dark Thirty",93,80,95720716,24438936,2937,52500000,0
