"google"
222.29
226.19
228.5
226.98
228.02
226.02
227.8
231.29
228.72
229.24
231.05
233.13
239.16
239.18
241.61
255.45
256
260.81
259.2
266
277.27
288
287.9
280.26
290.94
293.12
279.56
286.31
282.5
282.75
278.35
274.8
277.44
280.3
286.7
287.84
289.3
289.71
297.25
304.1
302
292.72
294.15
291.25
295.71
291.52
295.54
296.23
293.35
291.78
298.86
300.89
301.19
299.54
309.9
312
313.94
302.4
295.85
296.09
296.93
293.5
287.76
291.61
299.19
297.3
297.73
292.35
291.25
291.57
285.68
284.05
289.72
284
285.65
285.1
279.99
280
274.01
279.58
282.57
282.59
283.58
288.45
287.27
286
286.25
288.45
287.11
294.87
295.39
299.09
309.74
311.68
303
302.62
300.2
303.79
307.91
311.9
311.37
315.36
314.28
313.94
306
309.62
316.46
318.68
311
310.71
312.75
312.99
310.65
306.1
300.97
297.44
296.14
305
303.28
308.7
303.2
339.9
348.65
346.91
355.44
353.06
358.17
372.14
379.38
379.68
385.95
390.43
395.03
389.9
379.15
391.1
390.4
396.97
392.8
398.15
403.45
400.21
409.36
416.47
422.86
428.62
423.48
403.54
404.91
414.09
417.7
405.85
404.54
404.22
410.65
409.2
412.61
417.49
418.96
422.55
430.15
424.6
429.74
426.33
432.04
430.93
424.64
426.69
420.15
414.86
435.23
445.24
451.24
465.66
466.9
469.76
471.63
463.63
466.25
467.11
444.91
436.45
399.46
427.5
443.03
433
434.27
433.49
426.82
432.66
401.78
396.04
381.55
385.1
367.92
369.08
358.77
362.61
345.7
343.32
342.38
366.46
368.75
366.59
365.49
378.07
377.4
390.38
362.62
364.8
376.45
378.18
368.1
364.45
353.88
343
337.5
337.06
351.16
344.5
338.77
339.79
348.19
339.92
340.22
341.89
365.8
369.69
377.2
394.98
388.44
390
389.7
404.34
407.99
411.18
406.16
416.38
409.66
408.95
402.16
406.82
404.24
410.5
415
437.1
440.5
427.16
425.97
420.03
417.94
398.9
394.8
394.17
394.75
394.3
394.78
408.8
402.98
387
374.13
376.2
371.3
374.5
370.99
370.02
370.95
375.58
381.25
382.99
381.35
371.94
371.82
382.62
379.44
374.44
389.99
386.51
393.3
386.57
381.54
386.52
384.39
391
390.7
388.14
387.17
402.13
399.95
404.86
404.22
402.32
406.11
417.81
419.33
423.2
421.46
423.19
420.45
418.2
424.56
417.25
408.83
403.5
407.89
403.05
399
387.12
390.11
390.9
389.36
385.5
382.4
388.12
386.6
375.51
367.23
375.39
373.85
377.95
381
376.94
374.2
368.5
369.43
380.97
387.72
385.8
383.36
377.3
378.29
373.43
373.73
373.26
380.95
378.95
380.75
378.53
378.6
384.36
380.14
378.49
377.85
384.09
391.9
406.57
403.98
409.88
414.69
403.81
397
406.85
403.78
403.98
406.87
402.92
403.58
401.9
401.44
404.04
415.7
411.81
420.5
429
426.65
426.5
427.44
427.3
421.75
420.64
419.31
426.06
459.67
480.78
473.31
486.6
485.1
475.2
476.57
476.39
467.5
469.91
471.8
476.95
472.57
475
472.63
473.55
481.03
489.3
491.93
495.9
498.79
495.05
509.65
508.01
505
484.75
489.5
484.65
484.81
480.8
484.85
487
488.71
482.64
484.11
483.93
481.78
478.99
482.12
480.3
462.8
468.63
462.9
456.2
455.58
457.53
468.03
462.56
460.48
